,LSTM_5,LSTM_30,Conv1D_LSTM_30,LSTM_90,Conv1D_LSTM_90,LSTM_180,Conv1D_LSTM_180
2023-02-14,21821.183395273983,21824.976398854516,21818.050722680055,21821.44596783165,21855.3542239666,21835.35971365962,21838.731561256573
2023-02-15,22229.23357111402,22240.997452990152,22230.905043634586,22236.438650758937,22269.015146888793,22248.71112649236,22252.001093006693
2023-02-16,24317.824444173602,24336.05690188124,24320.157109217253,24356.152593903244,24360.620878993068,24337.87377266679,24341.96535408497
2023-02-17,23656.902162982617,23650.7038440702,23634.863069930114,23662.10638531344,23674.852224203758,23652.39071050752,23656.626181495376
2023-02-18,24619.745635901578,24594.584411461838,24580.47807788104,24610.916365453973,24619.098448913544,24595.764575969428,24600.06060905289
2023-02-19,24687.657044408377,24666.06664603995,24654.780889505055,24689.792584491894,24694.983092507813,24672.332267770544,24675.833731016144
2023-02-20,24371.03939003218,24348.78416852886,24343.35231683799,24380.424052109942,24380.69955980382,24359.43326591747,24361.750430627028
2023-02-21,24878.26739958767,24851.604934358038,24844.54269612115,24882.7367959572,24883.38500642404,24862.99449543748,24863.953491744585
2023-02-22,24480.180207567522,24457.371101691155,24452.544193844777,24492.802411368582,24489.88354494609,24471.20804331475,24470.605043963995
2023-02-23,24225.94619328156,24209.76667907834,24204.93099108711,24243.460784133524,24241.964229531586,24224.928305469453,24222.745469566435
2023-02-24,23982.739952807315,23969.373949958943,23964.78349020239,23999.466012330726,24000.211105612107,23984.775399204344,23981.0556423245
2023-02-25,23228.07658420829,23218.729423260782,23215.58236137964,23247.321227117674,23249.348288944457,23235.66769568785,23230.63737445604
2023-02-26,23197.054063752294,23191.467843934894,23195.191990479827,23211.04724049568,23226.695286512375,23214.086232483387,23207.853536188602
2023-02-27,23569.31603469723,23575.607557304436,23580.35147769889,23588.1934112343,23613.50274615106,23601.12754587992,23594.23495816649
2023-02-28,23527.09693989018,23538.39764323784,23544.3340176763,23547.533546837512,23575.27495086193,23562.981580272317,23555.842227735557
2023-03-01,23151.881657495396,23160.50195926451,23167.27347672335,23168.829766799463,23199.27952032769,23186.889906069264,23179.803819339722
2023-03-02,23647.596588890534,23663.117389075924,23669.341494925786,23667.235785202123,23699.808042038698,23686.849611517042,23679.70654801
