date,price
2014-04-15,6119726089.12815
2014-04-16,6119726089.12815
2014-04-17,6978842649.59238
2014-04-18,6978842649.59238
2014-04-19,6978842649.59238
2014-04-20,6978842649.59238
2014-04-21,6978842649.59238
2014-04-22,6978842649.59238
2014-04-23,6978842649.59238
2014-04-24,6978842649.59238
2014-04-25,6978842649.59238
2014-04-26,6978842649.59238
2014-04-27,6978842649.59238
2014-04-28,6978842649.59238
2014-04-29,6978842649.59238
2014-04-30,8000872135.96816
2014-05-01,8000872135.96816
2014-05-02,8000872135.96816
2014-05-03,8000872135.96816
2014-05-04,8000872135.96816
2014-05-05,8000872135.96816
2014-05-06,8000872135.96816
2014-05-07,8000872135.96816
2014-05-08,8000872135.96816
2014-05-09,8000872135.96816
2014-05-10,8000872135.96816
2014-05-11,8000872135.96816
2014-05-12,8853416309.1278
2014-05-13,8853416309.1278
2014-05-14,8853416309.1278
2014-05-15,8853416309.1278
2014-05-16,8853416309.1278
2014-05-17,8853416309.1278
2014-05-18,8853416309.1278
2014-05-19,8853416309.1278
2014-05-20,8853416309.1278
2014-05-21,8853416309.1278
2014-05-22,8853416309.1278
2014-05-23,8853416309.1278
2014-05-24,10455720138.4848
2014-05-25,10455720138.4848
2014-05-26,10455720138.4848
2014-05-27,10455720138.4848
2014-05-28,10455720138.4848
2014-05-29,10455720138.4848
2014-05-30,10455720138.4848
2014-05-31,10455720138.4848
2014-06-01,10455720138.4848
2014-06-02,10455720138.4848
2014-06-03,10455720138.4848
2014-06-04,10455720138.4848
2014-06-05,10455720138.4848
2014-06-06,11756551916.904
2014-06-07,11756551916.904
2014-06-08,11756551916.904
2014-06-09,11756551916.904
2014-06-10,11756551916.904
2014-06-11,11756551916.904
2014-06-12,11756551916.904
2014-06-13,11756551916.904
2014-06-14,11756551916.904
2014-06-15,11756551916.904
2014-06-16,11756551916.904
2014-06-17,11756551916.904
2014-06-18,13462580114.5253
2014-06-19,13462580114.5253
2014-06-20,13462580114.5253
2014-06-21,13462580114.5253
2014-06-22,13462580114.5253
2014-06-23,13462580114.5253
2014-06-24,13462580114.5253
2014-06-25,13462580114.5253
2014-06-26,13462580114.5253
2014-06-27,13462580114.5253
2014-06-28,13462580114.5253
2014-06-29,16818461371.1611
2014-06-30,16818461371.1611
2014-07-01,16818461371.1611
2014-07-02,16818461371.1611
2014-07-03,16818461371.1611
2014-07-04,16818461371.1611
2014-07-05,16818461371.1611
2014-07-06,16818461371.1611
2014-07-07,16818461371.1611
2014-07-08,16818461371.1611
2014-07-09,16818461371.1611
2014-07-10,16818461371.1611
2014-07-11,16818461371.1611
2014-07-12,16818461371.1611
2014-07-13,17336316978.5078
2014-07-14,17336316978.5078
2014-07-15,17336316978.5078
2014-07-16,17336316978.5078
2014-07-17,17336316978.5078
2014-07-18,17336316978.5078
2014-07-19,17336316978.5078
2014-07-20,17336316978.5078
2014-07-21,17336316978.5078
2014-07-22,17336316978.5078
2014-07-23,17336316978.5078
2014-07-24,17336316978.5078
2014-07-25,17336316978.5078
2014-07-26,18736441558.3102
2014-07-27,18736441558.3102
2014-07-28,18736441558.3102
2014-07-29,18736441558.3102
2014-07-30,18736441558.3102
2014-07-31,18736441558.3102
2014-08-01,18736441558.3102
2014-08-02,18736441558.3102
2014-08-03,18736441558.3102
2014-08-04,18736441558.3102
2014-08-05,18736441558.3102
2014-08-06,18736441558.3102
2014-08-07,18736441558.3102
2014-08-08,19729645940.5771
2014-08-09,19729645940.5771
2014-08-10,19729645940.5771
2014-08-11,19729645940.5771
2014-08-12,19729645940.5771
2014-08-13,19729645940.5771
2014-08-14,19729645940.5771
2014-08-15,19729645940.5771
2014-08-16,19729645940.5771
2014-08-17,19729645940.5771
2014-08-18,19729645940.5771
2014-08-19,19729645940.5771
2014-08-20,23844670038.8033
2014-08-21,23844670038.8033
2014-08-22,23844670038.8033
2014-08-23,23844670038.8033
2014-08-24,23844670038.8033
2014-08-25,23844670038.8033
2014-08-26,23844670038.8033
2014-08-27,23844670038.8033
2014-08-28,23844670038.8033
2014-08-29,23844670038.8033
2014-08-30,23844670038.8033
2014-08-31,23844670038.8033
2014-09-01,27428630902.2579
2014-09-02,27428630902.2579
2014-09-03,27428630902.2579
2014-09-04,27428630902.2579
2014-09-05,27428630902.2579
2014-09-06,27428630902.2579
2014-09-07,27428630902.2579
2014-09-08,27428630902.2579
2014-09-09,27428630902.2579
2014-09-10,27428630902.2579
2014-09-11,27428630902.2579
2014-09-12,27428630902.2579
2014-09-13,27428630902.2579
2014-09-14,29829733124.0404
2014-09-15,29829733124.0404
2014-09-16,29829733124.0404
2014-09-17,29829733124.0404
2014-09-18,29829733124.0404
2014-09-19,29829733124.0404
2014-09-20,29829733124.0404
2014-09-21,29829733124.0404
2014-09-22,29829733124.0404
2014-09-23,29829733124.0404
2014-09-24,29829733124.0404
2014-09-25,29829733124.0404
2014-09-26,34661425923.9769
2014-09-27,34661425923.9769
2014-09-28,34661425923.9769
2014-09-29,34661425923.9769
2014-09-30,34661425923.9769
2014-10-01,34661425923.9769
2014-10-02,34661425923.9769
2014-10-03,34661425923.9769
2014-10-04,34661425923.9769
2014-10-05,34661425923.9769
2014-10-06,34661425923.9769
2014-10-07,34661425923.9769
2014-10-08,34661425923.9769
2014-10-09,35002482026.1332
2014-10-10,35002482026.1332
2014-10-11,35002482026.1332
2014-10-12,35002482026.1332
2014-10-13,35002482026.1332
2014-10-14,35002482026.1332
2014-10-15,35002482026.1332
2014-10-16,35002482026.1332
2014-10-17,35002482026.1332
2014-10-18,35002482026.1332
2014-10-19,35002482026.1332
2014-10-20,35002482026.1332
2014-10-21,35002482026.1332
2014-10-22,35002482026.1332
2014-10-23,35985640265.0762
2014-10-24,35985640265.0762
2014-10-25,35985640265.0762
2014-10-26,35985640265.0762
2014-10-27,35985640265.0762
2014-10-28,35985640265.0762
2014-10-29,35985640265.0762
2014-10-30,35985640265.0762
2014-10-31,35985640265.0762
2014-11-01,35985640265.0762
2014-11-02,35985640265.0762
2014-11-03,35985640265.0762
