date,open,high,low,close,avg-block-size,blocks-size,cost-per-transaction,difficulty,hash-rate,market-cap,median-confirmation-time,miners-revenue,n-transactions-excluding-popular,n-transactions-per-block,n-transactions-total,n-transactions,output-volume,total-bitcoins,trade-volume,transaction-fees-usd,transaction-fees
2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,1.0433825,150110.786114,135.535323061897,1922580604979.83,14975580.9596883,225309876859.16083,13.9,32858099.4405417,231679.0,1549.72435897436,287846198.0,241757.0,1683244.82942741,16775496.532258064,1000379552.84,6333640.74595254,469.41303646
2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,1.04136759649123,150273.540487,113.842161169808,1931136454487.0,16415540.6673506,233263466226.327,7.98333333333333,39946758.985841,324425.0,1994.0350877193,288087874.0,340980.0,2536938.59565949,16777534.598214287,660696459.5412,9290166.31953244,649.16497626
2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,1.06551321019108,150451.629839,102.462144097995,1931136454487.0,15071578.2735325,251392567264.61148,9.55,41037010.8705439,376433.0,2522.05732484076,288429056.0,395963.0,2816884.6123767,16779584.775641024,1365238569.4398,11324841.6128776,749.68547259
2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,1.06583270238095,150618.904617,100.52698270696,1931136454487.0,16127548.7258182,249091245941.3444,13.95,42724771.8663199,402643.0,2529.80952380952,288825693.0,425008.0,2737825.46133858,16781618.75,1059922923.7584,11552478.5891142,778.26109477
2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,1.0676357972028,150797.951213,114.399122327603,1931136454487.0,13727615.8797143,264566477467.2096,9.48333333333333,39205380.0155258,322200.0,2396.55244755245,289250439.0,342707.0,2921230.73442498,16783562.5,1311574416.3742,11059353.333874,701.35602085
2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,1.05460916071429,150950.682578,129.759451733182,1931136454487.0,16127548.7258182,280015165220.5006,9.76666666666667,46563789.9760972,342679.0,2135.99404761905,289592587.0,358847.0,2979615.08569416,16785506.25,1629825236.7474,11572011.1365599,694.47790564
2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,1.04773831481481,151127.805216,121.983509286774,1931136454487.0,15551564.8427532,278010894192.2543,14.3,44912742.3337695,352796.0,2272.75925925926,289951268.0,368187.0,2757179.42461305,16787568.75,906109684.557,11362529.6274721,686.11400249
2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,1.0506483373494,151297.492964,122.711498547997,1931136454487.0,15935554.0981299,257026965680.56024,14.875,42902516.8338494,329050.0,2082.36144578313,290319380.0,345672.0,2520926.89168333,16789619.62121212,864432591.694,10728074.7655743,694.5264055
2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,1.05459934756098,151471.960884,115.403963106422,1931136454487.0,15743559.4704415,249683746921.53784,14.375,43234479.1223377,340700.0,2196.73780487805,290665709.0,360265.0,2246011.72906948,16791676.164596274,1623235878.18,11613675.7472945,752.4182028
2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,1.05819497590362,151644.914912,114.098367726941,1931136454487.0,15935554.0981299,237730178045.8208,13.7,39636974.2597653,330491.0,2092.72891566265,291025679.0,347393.0,2162979.76075194,16793743.75,1116810955.326,10220302.3856084,720.32570087
