date,cost-per-transaction-percent_x,cost-per-transaction-percent_y,hash-rate,n-transactions-excluding-popular,difficulty,mempool-size,blocks-size,avg-confirmation-time,output-volume,avg-block-size,market-price,market-cap,n-unique-addresses,mempool-count,mempool-growth,n-transactions-total,miners-revenue,n-transactions-per-block,estimated-transaction-volume,median-confirmation-time,n-transactions,estimated-transaction-volume-usd,cost-per-transaction
2014-05-28,4.9047343324001,4.9047343324001,91996.9301043173,72338.0,10455720138.4848,,19296.456239,,869282.339182977,0.249080710059172,572.7,7343860957.5,156184.0,,,39612651.0,2886725.31537357,428.03550295858,102769.15582976,6.93333333333333,72338.0,58855895.5437036,35.502272944295
2014-05-29,4.60962302784471,4.60962302784471,68088.1234105399,65362.0,10455720138.4848,,19338.550494,,659714.045118423,0.27179760283688,581.0,7452748450.0,145139.0,,,39684809.0,2171411.11799255,463.560283687943,81077.5308734399,7.83333333333333,65362.0,47106045.4374686,32.0456186244473
2014-05-30,3.59998057689111,3.59998057689111,84720.3367627328,65127.0,10455720138.4848,,19376.567036,,929717.756126586,0.220130371257485,569.01,7300953084.75,127995.0,,,39749554.0,2667113.68140693,389.982035928144,130203.1438319,7.38333333333333,65127.0,74086890.8717894,38.3139930099255
2014-05-31,4.79735461852501,4.79735461852501,79003.0134229165,52172.0,10455720138.4848,,19413.616502,,588130.159851893,0.208395544217687,621.3,7974478695.0,123644.0,,,39815047.0,2507046.66898787,354.91156462585,84112.24842079,7.5,52172.0,52258939.9438368,45.3419422156527
2014-06-01,4.48783294443122,4.48783294443122,93036.4434388293,55222.0,10455720138.4848,,19444.068284,,742697.834930674,0.20503392,626.5,8043523862.5,167932.0,,,39867118.0,3186784.51736148,315.554285714286,113343.06194779,6.63333333333333,55222.0,71009428.3102904,53.8417334149064
2014-06-02,4.77831768590243,4.77831768590243,93036.4434388293,64434.0,10455720138.4848,,19480.140124,,952286.473004429,0.199626906735751,630.71,8100334672.0,149237.0,,,39922562.0,3650788.78347102,333.854922279793,121138.43824695,6.86666666666667,64434.0,76403224.3867338,49.2000159490993
2014-06-03,4.30009435035798,4.30009435035798,97714.2534441336,69655.0,10455720138.4848,,19518.678957,,906950.889311302,0.236055926553672,662.0,8505392550.0,160756.0,,,39987099.0,3203424.7509436,393.531073446328,112532.65169396,5.98333333333333,69655.0,74496615.4214015,43.802126930615
2014-06-04,4.56272235605139,4.56272235605139,95115.4701078534,65094.0,10455720138.4848,,19560.147989,,1034442.67009573,0.203397785714286,670.14,8612957596.5,148353.0,,,40056179.0,3593888.80985165,357.659340659341,117537.12205406,6.43333333333333,65094.0,78766326.9733077,51.3640156333755
2014-06-05,3.78555299310367,3.78555299310367,75364.7167521243,66945.0,10455720138.4848,,19597.728314,,950750.391346203,0.262957598684211,642.86,8265251020.0,154509.0,,,40122179.0,2708518.43397621,440.427631578947,111297.66719672,7.76666666666667,66945.0,71548818.3340835,37.9004594477808
2014-06-06,3.87306272844372,3.87306272844372,86494.3621241971,62342.0,11756551916.904,,19637.449163,,1049433.72248384,0.273251352517986,661.48,8507161984.0,143645.0,,,40189213.0,2703361.52059781,448.503597122302,105519.53753773,7.41666666666667,62342.0,69799063.6904577,39.7529780689049
2014-06-07,7.02078450180922,7.02078450180922,89416.4689527173,51210.0,11756551916.904,,19675.218891,,606545.184858579,0.184429664516129,649.0,8348914475.0,120890.0,,,40250781.0,2878038.64715532,330.387096774194,63163.51378592,7.25,51210.0,40993120.4470621,51.4670716587146
2014-06-08,6.38325631702868,6.38325631702868,87663.2048556052,48308.0,11756551916.904,,19704.017462,,772391.162308146,0.228370227941176,657.12,8455918728.0,153210.0,,,40302605.0,2503351.83023013,355.205882352941,59680.83929682,7.36666666666667,48308.0,39217473.1187264,48.5437342246335
2014-06-09,5.2617723313991,5.2617723313991,79481.3057357487,59875.0,11756551916.904,,19735.0346,,389374.168040356,0.232621698717949,657.11,8458024220.5,137265.0,,,40350520.0,3129398.32990219,383.814102564103,90508.7812943,8.93333333333333,59875.0,59474225.2762974,46.5628843277912
2014-06-10,3.14434282162791,3.14434282162791,103442.581729614,63316.0,11756551916.904,,19771.112888,,595395.837500687,0.239050365269461,648.81,8353720714.5,146486.0,,,40410007.0,3398807.4547023,379.137724550898,166601.58810253,6.75,63316.0,108092776.376803,46.0412003996464
