date,Cost % of Transaction Volume,Hash Rate,Number of Transactions Excluding Popular Addresses,Difficulty,Mempool Size,Blockchain Size,Average Confirmation Time,Output Value,Average Block Size,Market Price (USD),Market Capitalization,Number Of Unique Addresses Used,Mempool Transaction Count,Mempool Size Growth,Total Number of Transactions,Miners Revenue,Average Number Of Transactions Per Block,Estimated Transaction Value,Median Confirmation Time,Confirmed Transactions Per Day,Estimated USD Transaction Value,Cost per Transaction
2022-12-20,0.738326046198109,246114015.1556391,268394.0,35364065900457.0,630182.0,444053.457999,15.345993135463164,992503.2210049292,1.3143528285714288,16439.89,316413656418.75,653824.0,1206.0,2024.5666666666664,789440528.0,15203920.126164537,1920.6642857142856,122862.26633830996,8.3,268893.0,2059242011.6362784,56.38474194375046
2022-12-21,0.6262214299850487,251387886.90897432,272025.0,35364065900457.0,3327956.5,444237.55928,13.15267811499455,864794.505277045,1.2201296153846155,16904.64,325605172775.0,653064.0,3009.0,1329.2666666666669,789709787.0,15330046.709449464,1905.5314685314688,145483.68008763,7.6,272491.0,2448023330.9510784,56.25891023721688
2022-12-22,0.7769213548356009,237324228.90008065,270721.0,35364065900457.0,2240079.5,444411.970578,19.885680471902088,821592.263027596,1.244493999999999,16813.62,324100326750.0,665463.0,2227.5,967.7833333333332,789982145.0,14445678.738210894,2008.748148148148,110843.16879232002,8.166666666666666,271181.0,1859348909.4230971,53.26950906667832
2022-12-23,0.7100587611703465,232050357.14674553,273472.0,35364065900457.0,1841385.0,444580.20661,19.536803060037315,884534.8023663283,1.2620145833333334,16818.68,323979852762.5,680283.0,2020.0,1175.2666666666669,790254461.0,14192911.730580632,2075.1969696969695,118621.26828581,7.966666666666667,273926.0,1998836224.0876124,51.81294119791707
2022-12-24,0.9626434430167228,156458195.34894204,212993.0,35364065900457.0,6279595.5,444746.804768,46.78613868506413,605647.1398725724,1.449313056179775,16779.71,323301038637.5,562534.0,6101.0,1620.8,790526993.0,9886179.74795384,2397.067415730337,60977.16896175997,14.933333333333334,213339.0,1026982505.2744997,45.434064119202915
2022-12-25,2.655210351850286,247871972.4067509,204994.0,35364065900457.0,10863708.0,444875.815742,39.862250902318294,575331.1691897305,0.9879369787234048,16838.1,324503412000.0,522307.0,17039.0,580.5833333333334,790740923.0,15073742.939776683,1456.127659574468,33714.40174508002,6.316666666666666,205314.0,567704284.870407,73.41799847928871
2022-12-26,1.692386255619548,226776485.39341035,223102.0,35364065900457.0,1150623.5,445014.991139,21.395992712906068,659881.7812890987,1.1192635116279068,16826.86,324191138043.75,548937.0,658.0,1298.2666666666669,790945257.0,14104102.296292609,1732.5891472868218,49422.234748989984,7.883333333333334,223504.0,833385537.6962621,61.96228120186188
2022-12-27,1.0065759482204983,202165083.87784645,238925.0,35364065900457.0,997217.5,445159.265994,24.471930699274196,741006.8047307775,1.3764050521739133,16915.7,326109883125.0,593337.0,920.5,1549.4666666666667,791168987.0,12489766.06688427,2081.3826086956524,73837.5818452,9.833333333333334,239359.0,1240817057.9641438,52.18005617872848
2022-12-28,0.9264228287810484,295336818.18676704,272494.0,35364065900457.0,5041573.5,445318.173024,21.79097546988208,873018.2612190844,1.026325125,16699.0,321772742500.0,661225.0,5652.5,1105.4333333333334,791410511.0,17844731.47947442,1624.696428571429,115663.03057508005,5.0,272949.0,1926197296.2123392,65.37753015938664
2022-12-29,0.6873525112676998,247871972.4067509,265481.0,35364065900457.0,1747341.0,445490.189205,11.72654717359563,869143.2756851362,1.2632121843971629,16539.28,318672473837.5,668338.0,1220.5,1428.45,791683136.0,14977089.738394096,1886.2056737588653,131188.57038618997,6.983333333333333,265955.0,2178953228.9292884,56.31437550861648
2022-12-30,0.5374989348552422,277757245.6756499,290520.0,35364065900457.0,6298950.0,445668.2695,21.16347827617931,886838.7021504453,1.3564298101265828,16630.49,320611736825.0,726125.0,8056.5,880.8,791948046.0,16715350.712628448,1841.867088607595,187830.55360826993,7.766666666666667,291015.0,3109838853.3793426,57.438107013825565
2022-12-31,1.1203706649548926,274241331.1734265,241915.0,35364065900457.0,1792111.5,445882.496807,9.196646839294118,626344.3208336479,1.0717108461538465,16599.69,319858278600.0,618594.0,1272.0,1041.6166666666666,792239044.0,16375895.467673866,1553.3653846153843,88107.45507170004,4.8583333333333325,242325.0,1461649789.6553886,67.57823364355252
2023-01-01,1.6840438893986602,272483373.92231476,187194.0,35364065900457.0,836076.5,446049.777365,6.534885969292418,557067.332262394,0.8427004903225808,16526.78,318835052700.0,509337.0,841.5,1004.4833333333332,792482423.0,16173353.596591791,1209.7806451612903,57947.45603425,4.45,187516.0,960387891.2186182,86.25052580362097
2023-01-02,1.3923587235721695,274241331.1734265,228933.0,35364065900457.0,2983296.0,446180.371298,8.933587018657784,687118.9776571828,1.0212204935897442,16613.71,320371820931.25,575250.0,3065.0,916.6333333333332,792669265.0,16447340.744624749,1470.173076923077,70627.13101751001,4.883333333333333,229347.0,1181257420.6759183,71.71378193141723
2023-01-03,0.853174940758814,261883481.8059322,271592.0,34209069922954.273,2780023.5,446339.616331,21.142222056968517,826711.6094618037,1.2482563701298697,16671.54,321292826937.5,645565.0,5307.5,1695.9166666666667,792897596.0,16511361.794084923,1766.590909090909,115897.68252864997,6.75,272055.0,1935284430.5764203,59.700048428926
2023-01-04,0.6262839232051644,242356482.01087615,277455.0,34093570325204.0,3199679.5,446532.165942,18.482368005744657,873364.0109654499,1.2244501678321678,16669.6,321231884737.5,652878.0,3280.5,862.15,793170636.0,15514421.553151188,1943.6083916083917,147221.81181332003,7.666666666666667,277936.0,2477218555.0847707,55.585529499769585
2023-01-05,0.8134858371395914,266083690.039913,278919.0,34093570325204.0,4761456.0,446706.89034,16.011335249840155,880423.9940730534,1.1550252165605093,16850.63,324673738400.0,682119.0,5541.0,1623.6666666666667,793447471.0,17190903.00793761,1779.56050955414,125408.18788017,6.6,279391.0,2113239373.4579191,60.89478758058699
