date,avg-block-size,avg-confirmation-time,blocks-size,cost-per-transaction-percent,cost-per-transaction,difficulty,estimated-transaction-volume-usd,estimated-transaction-volume,hash-rate,market-cap,market-price,median-confirmation-time,mempool-count,mempool-growth,mempool-size,miners-revenue,n-transactions-excluding-popular,n-transactions-per-block,n-transactions-total,n-transactions,n-unique-addresses,output-volume,total-bitcoins,trade-volume,transaction-fees-usd,transaction-fees,transactions-per-second
2014-04-27,0.181005920903955,,18148.535084,7.27375247479858,42.996640188905,6978842649.59238,37055569.2245566,80297.23763664,57935.6650189374,5860403966.746754,461.48,8.2,,,,2695330.38352189,52629.0,297.338983050847,37627735.0,52629.0,148161.0,304654.699317986,12699150.487012986,4099197.6256,7209.38352188921,11.74870756,
2014-04-28,0.238974052631579,,18180.712167,3.73375215273781,27.2629447546812,6978842649.59238,53641615.4990172,122246.161119,57588.7448691234,5574158474.817518,438.8,7.58333333333333,,,,2002844.9734579,64546.0,424.644736842105,37680606.0,64546.0,146280.0,582844.636266595,12703187.043795621,3607646.856,6304.973457896,12.79024099,
2014-04-29,0.228138152941177,,18217.151153,3.90551992939269,29.9678281985657,6978842649.59238,60780936.9861265,137376.6770322,54813.3836706114,5622207047.939597,442.44,8.16666666666667,,,,2373811.60726478,65038.0,382.576470588235,37745346.0,65038.0,141443.0,562617.982962101,12707275.671140939,8566934.7492,6757.6072647852,12.61418574,
2014-04-30,0.268898347826087,,18255.643159,4.54031120896564,25.8212881017503,8000872135.96816,39607937.1452621,88410.57398496,58067.9246280705,5694585499.212599,448.0,7.66666666666667,,,,1798323.6098464,63657.0,461.282608695652,37809733.0,63657.0,138804.0,489352.734514279,12711128.346456693,6205893.12,6323.6098464,12.95582061,
2014-05-01,0.191978852272727,,18293.075357,6.87101490190376,38.9711272329624,8000872135.96816,42193768.1478652,93342.84925307,66817.8858733963,5747565341.649007,452.03,7.65,,,,2899140.09711454,59658.0,338.965909090909,37873872.0,59658.0,132989.0,449043.555727504,12715008.609271523,4861252.6681,6148.0971145412,10.84631035,
2014-05-02,0.211548310559006,,18326.707454,5.73986863866715,33.8863037030286,8000872135.96816,47711118.3628041,103501.56921883,67613.3368956986,5863160270.985507,460.97,6.96666666666667,,,,2738555.52006396,59981.0,372.552795031056,37933416.0,59981.0,122570.0,658715.601906697,12719179.710144928,4406324.6457,7308.2700639564,11.87743613,
2014-05-03,0.203527063380282,,18360.796395,6.33612154191496,31.3704062744673,8000872135.96816,28797242.895007,63304.5568147,57272.4736057682,5787713563.834586,454.9,8.21666666666667,,,,1824628.31054812,54157.0,381.387323943662,37993792.0,54157.0,98010.0,557392.959877705,12723045.864661654,3762723.546,5028.310548115,10.28949159,
2014-05-04,0.201563052980132,,18389.697401,7.53550556195308,32.6510081889427,8000872135.96816,26489955.0564704,60204.44331016,60454.2776949776,5599738650.0,440.0,7.63333333333333,,,,1996152.0366392,51769.0,342.841059602649,38047965.0,51769.0,136682.0,428868.453035868,12726678.75,3269631.2,5152.0366392,9.88528194,
2014-05-05,0.299039512,,18420.533538,4.37497842574709,20.6069696229284,8000872135.96816,35339125.3497538,80913.85311907,49715.688893896,5559894400.476695,436.75,8.36666666666667,,,,1546079.10989945,67763.0,542.104,38100609.0,67763.0,126823.0,633594.681573815,12730153.177966101,1977398.7275,6535.35989945,13.53297617,
2014-05-06,0.219220350515464,,18457.413329,6.78600497769849,28.7996415485258,8000872135.96816,38075678.536938,87934.59246406,73976.9450741173,5513852248.142858,433.0,7.0,,,,2583817.44080909,77228.0,398.082474226804,38167287.0,77228.0,144318.0,687403.188091505,12734069.857142856,3815808.17,7467.44080909,15.00387446,
